User_ID,Location,Age
1,"nyc, new york, usa",35
2,"stockton, california, usa",18
3,"moscow, yukon territory, russia",35
4,"porto, v.n.gaia, portugal",17
5,"farnborough, hants, united kingdom",35
6,"santa monica, california, usa",61
7,"washington, dc, usa",35
8,"timmins, ontario, canada",35
9,"germantown, tennessee, usa",35
10,"albacete, wisconsin, spain",26
11,"melbourne, victoria, australia",14
12,"fort bragg, california, usa",35
13,"barcelona, barcelona, spain",26
14,"mediapolis, iowa, usa",35
15,"calgary, alberta, canada",35
16,"albuquerque, new mexico, usa",35
17,"chesapeake, virginia, usa",35
18,"rio de janeiro, rio de janeiro, brazil",25
19,"weston, ,",14
20,"langhorne, pennsylvania, usa",19
21,"ferrol / spain, alabama, spain",46
22,"erfurt, thueringen, germany",35
23,"philadelphia, pennsylvania, usa",35
24,"cologne, nrw, germany",19
25,"oakland, california, usa",55
26,"bellevue, washington, usa",35
27,"chicago, illinois, usa",32
28,"freiburg, baden-wuerttemberg, germany",24
29,"cuernavaca, alabama, mexico",19
30,"anchorage, alaska, usa",24
31,"shanghai, n/a, china",20
32,"portland, oregon, usa",35
33,"costa mesa, california, usa",34
34,"london, england, united kingdom",35
35,"grafton, wisconsin, usa",17
36,"montreal, quebec, canada",24
37,"san sebastian, n/a, spain",23
38,"viterbo, lazio, italy",34
39,"cary, north carolina, usa",35
40,"tonawanda, new york, usa",32
41,"santee, california, usa",14
42,"appleton, wisconsin, usa",17
43,"méxico, méxico city, distrito federal",35
44,"black mountain, north carolina, usa",51
45,"berlin, n/a, germany",35
46,"heidelberg, baden-wuerttemberg, germany",31
47,"vicenza, veneto, italy",21
48,"chicago, illinois, usa",35
49,"rome, rome, italy",35
50,"london, england, united kingdom",17
51,"renton, washington, usa",34
52,"braunschweig, niedersachsen, germany",35
53,"tacoma, washington, usa",35
54,"eubank, kentucky, usa",44
55,"calgary, alberta, canada",35
56,"cheyenne, wyoming, usa",24
57,"roma, lazio, italy",35
58,"edmonton, alberta, canada",35
59,"asheville, north carolina, usa",23
60,"trieste, friuli venezia giulia, italy",35
61,"winfield, alabama, usa",30
62,"kennewick, washington, usa",35
63,"nyack, new york, usa",57
64,"lyon, rhone, france",32
65,"n/a, n/a, australia",35
66,"warman, saskatchewan, canada",30
67,"framingham, massachusetts, usa",43
68,"montreal, quebec, canada",35
69,"vancouver, british columbia, canada",35
70,"rochester, new york, usa",44
71,"toronto, ontario, canada",24
72,"gloucester, england, united kingdom",34
73,"wentzville, missouri, usa",35
74,"amsterdam, n/a, netherlands",30
75,"long beach, california, usa",37
76,"charleston, south carolina, usa",35
77,"vancouver, british columbia, canada",35
78,"oakland, california, usa",18
79,"ottawa, ontario, canada",20
80,"etobicoke, ontario, canada",35
81,"santa cruz, california, usa",35
82,"del mar, california, usa",35
83,"eugene, oregon, usa",35
